,Unnamed: 0,Score,CreationDate,ViewCount,AnswerCount,CommentCount,FavoriteCount,AskerId,Reputation,TagCount,TitleLength,Technology,cluster
57,5613,7,2817,541,0,1,7,404,772,2,5,1,1
58,1318,39,1572,1782,13,17,13,585,1320,2,7,1,0
59,2174,7,3195,985,3,0,3,858,804,2,4,15,1
60,728,6,2613,132,1,0,1,1260,555,3,3,16,1
61,4610,6,3844,41,1,1,7,982,1038,3,5,1,1
62,3162,6,4303,184,2,0,1,375,821,0,8,4,1
63,3817,6,1929,86,1,4,7,608,498,3,7,1,0
64,3105,8,2002,1789,2,1,1,588,1383,4,6,16,0
65,3530,8,2462,1648,1,6,1,91,528,1,11,8,1
66,3666,6,372,1415,2,0,7,115,1282,0,19,1,0
67,3576,7,127,268,1,3,7,751,321,2,6,1,0
68,5449,7,305,481,1,0,7,723,1312,2,7,8,0
69,3026,8,830,155,1,0,0,586,195,2,11,9,0
70,3595,6,981,2026,2,0,7,98,1179,0,8,1,0
71,825,6,3524,2031,3,0,7,1065,1069,3,6,9,1
72,5496,8,1775,1127,2,1,1,831,1146,2,4,1,0
73,5084,6,1609,545,2,0,7,946,296,1,14,1,0
74,520,17,3760,2548,3,2,3,859,559,2,5,15,1
75,4330,7,3311,208,2,1,7,1196,1250,4,10,1,1
76,5980,8,1727,290,1,0,7,712,931,2,7,27,0
77,2647,5,3794,830,2,4,7,62,328,0,10,1,1
78,47,4,1868,289,1,0,7,450,1373,0,6,1,0
79,5952,6,3261,77,3,1,7,432,903,1,8,8,1
80,5592,5,4372,119,1,0,7,252,801,2,14,1,1
81,1937,10,938,1390,1,0,7,517,855,0,6,36,0
82,5303,8,704,192,1,0,1,229,781,1,9,19,0
83,3163,9,148,1947,2,0,7,375,821,2,4,1,0
84,4561,6,4445,1416,4,1,7,1245,996,0,7,29,1
85,2945,7,1342,969,3,0,7,367,1267,4,7,8,0
86,2482,5,509,920,1,0,7,1062,1006,1,10,1,0
87,3466,6,1951,895,2,3,7,67,1094,2,7,9,0
88,1080,37,315,2667,8,0,20,892,192,3,14,1,0
89,577,6,1492,538,2,0,7,324,689,1,5,9,0
90,6007,9,611,1608,2,0,1,774,58,2,14,8,0
91,4869,7,259,1265,1,0,7,67,1094,4,6,8,0
92,1443,15,2939,2501,4,0,3,588,1383,1,6,1,1
93,4315,6,693,939,0,0,7,790,516,1,10,16,0
94,4781,5,1741,220,1,0,7,6,949,0,19,4,0
95,4704,6,2181,115,2,0,7,820,283,2,3,0,0
96,1987,5,3049,1825,3,2,7,289,1155,3,11,1,1
97,5388,6,137,1255,1,0,7,1008,1393,2,9,36,0
98,4511,12,934,227,2,13,7,402,966,3,11,26,0
99,849,6,3370,1131,2,1,7,50,1061,2,9,27,1
100,1846,32,2932,2452,3,1,9,490,1380,1,13,8,1
101,898,4,2615,292,1,3,0,338,1287,1,6,1,1
102,4749,6,1869,17,2,0,7,281,712,1,12,0,0
103,2341,6,3371,504,2,2,7,1258,588,2,7,8,1
104,4776,7,2374,800,1,0,7,2,841,2,3,30,1
105,2819,7,1095,1129,2,0,7,1313,1335,2,8,1,0
106,211,11,2287,1147,2,1,2,506,322,3,7,16,1
107,3115,5,614,648,1,0,7,1326,626,4,11,36,0
108,3454,6,1443,2108,1,1,0,65,890,3,7,8,0
109,2766,5,4006,1652,2,0,7,353,680,1,4,1,1
110,1572,17,118,2141,7,0,10,594,512,2,7,15,0
111,669,6,3371,504,2,2,7,1258,588,2,7,8,1
112,2634,5,3526,12,1,0,0,890,1338,2,11,1,1
113,1713,7,3136,1008,5,1,1,447,1290,3,3,8,1
114,5531,3,3896,608,3,0,7,247,898,4,16,15,1
115,4953,6,1356,415,1,0,7,117,777,1,11,3,0
116,4621,10,374,2178,2,3,2,412,1045,2,7,26,0
117,1239,6,2458,659,2,0,7,80,1073,2,12,6,1
118,5375,7,944,656,1,0,7,617,995,2,12,1,0
119,3025,7,2906,1451,1,0,7,586,195,2,4,27,1
120,3723,7,2796,156,3,0,7,136,1016,2,10,0,1
121,1618,6,1286,86,2,0,7,919,1277,1,6,1,0
122,933,7,2227,118,2,1,1,338,1287,0,1,1,1
123,683,60,2047,2776,6,0,13,28,1246,4,14,0,0
124,2204,6,765,1095,2,0,1,1035,1260,2,7,1,0
125,4394,5,2438,368,2,0,7,1226,5,0,11,1,1
126,4192,5,4147,1407,2,2,1,1218,592,3,9,1,1
127,1173,7,2830,1212,3,2,7,76,928,1,6,6,1
128,3371,5,2118,396,2,0,7,18,711,1,3,1,0
129,2304,6,787,420,2,4,7,26,417,1,5,1,0
130,4856,6,1079,1203,3,0,1,67,1094,1,6,8,0
131,2628,10,1429,472,4,0,7,890,1338,1,15,1,0
132,4840,6,1389,473,1,1,7,48,1190,4,16,21,0
133,3809,52,888,2697,4,4,11,202,629,3,4,15,0
134,4581,54,3443,2163,5,2,17,410,1292,3,9,1,1
135,2870,5,3408,1310,1,0,7,358,1052,3,10,15,1
136,3333,5,881,78,4,1,7,597,1222,0,8,1,0
137,3381,7,2711,635,2,2,1,28,1248,3,12,1,1
138,858,10,1696,289,3,0,3,338,1287,1,9,1,0
139,419,6,1275,144,1,1,1,309,614,2,14,21,0
140,4036,8,4352,1805,2,0,1,383,409,2,8,17,1
141,1762,12,728,1557,1,5,5,463,193,4,9,37,0
142,1001,5,1784,54,1,0,7,341,727,3,4,0,0
143,1742,5,4075,34,2,0,7,451,714,1,4,1,1
144,2508,36,1728,2724,4,0,13,888,842,4,10,15,0
145,78,9,542,2412,2,0,3,463,193,1,18,1,0
146,480,8,3120,1972,5,4,0,1033,326,2,5,8,1
147,2171,7,834,404,2,6,0,542,1319,1,2,15,0
148,5167,8,229,303,1,0,0,1105,148,1,6,30,0
149,2569,7,3164,167,4,4,1,338,1287,1,11,8,1
150,2004,23,2051,1900,11,0,5,527,346,4,4,1,0
151,570,23,345,2190,3,0,2,867,1265,2,4,15,0
152,2296,6,3349,2266,4,0,1,871,915,2,7,9,1
153,2662,5,1332,644,1,0,1,341,727,1,9,1,0
154,3157,6,2472,2321,2,3,7,373,477,2,10,16,1
155,5161,7,849,555,2,1,7,788,1216,1,9,8,0
156,1014,7,2725,235,0,1,7,890,1338,0,9,1,1
157,4178,8,1236,882,4,6,7,645,991,2,9,14,0
158,5752,5,4120,427,1,0,1,671,1228,0,9,1,1
159,2799,15,1439,2641,4,0,1,1313,1335,1,3,15,0
160,3694,5,4016,1135,2,0,7,1167,260,3,10,15,1
161,5378,7,4167,1519,1,0,7,619,1144,2,9,16,1
162,3862,10,3960,1720,2,0,2,475,142,4,7,1,1
163,5027,7,43,766,2,1,7,164,637,2,13,0,0
164,4103,6,4214,1065,2,1,1,1185,1193,4,8,1,1
165,1215,7,2792,1855,3,0,1,1290,542,1,15,8,1
166,2549,10,2001,1236,1,0,7,338,1287,1,6,0,0
167,2227,9,396,1996,4,0,1,864,289,3,10,34,0
168,1166,6,3544,57,2,3,1,356,1118,3,10,33,1
169,5939,13,3520,1148,5,3,3,1145,1284,2,11,15,1
170,1052,10,3411,2496,4,5,7,66,1293,2,8,1,1
171,4197,6,3327,1745,0,0,7,784,431,3,8,15,1
172,2557,6,2768,440,2,2,0,572,700,0,8,1,1
173,3452,6,3044,1069,0,2,7,725,1334,3,4,9,1
174,3241,5,2806,126,1,0,7,381,1259,3,13,10,1
175,3581,6,3908,219,1,0,7,753,935,1,13,6,1
176,494,29,2140,2159,6,2,12,542,1319,2,1,1,0
177,4249,7,5,519,1,2,1,1218,592,2,4,15,0
178,2357,6,198,1938,1,0,7,28,1246,2,9,4,0
179,1876,5,583,307,1,1,7,496,674,1,6,30,0
180,2555,5,1405,745,1,0,7,53,894,3,9,4,0
181,1679,5,3603,392,3,0,7,597,1222,1,6,1,1
182,5269,7,1904,1104,5,0,2,397,1185,3,10,21,0
183,4342,12,2420,1932,3,9,4,791,1041,4,11,1,1
184,1452,40,3850,2731,6,0,9,1327,379,1,6,1,1
185,5970,9,621,585,2,0,7,434,1276,0,12,1,0
186,6094,6,3634,1606,1,0,10,310,1310,2,10,14,1
187,2822,12,3599,1639,5,2,3,1313,1335,4,5,8,1
188,1494,22,1878,2013,5,0,5,374,327,2,8,1,0
189,2680,6,779,1531,2,3,1,65,888,3,7,27,0
190,870,7,2934,165,1,0,1,338,1287,1,6,1,1
191,2001,11,3472,2656,7,1,7,527,346,3,1,0,1
192,886,3,969,71,1,2,7,572,700,0,5,1,0
193,1600,10,4210,1815,5,1,3,1334,797,2,2,27,1
194,3141,12,1528,1829,6,1,2,588,1383,0,2,1,0
195,1317,12,2289,1598,8,0,3,585,1320,1,10,1,1
196,51,5,2499,2217,2,0,7,450,1373,3,9,33,1
197,2337,8,84,1295,3,0,7,1258,588,3,6,0,0
198,2399,6,2613,132,1,0,1,1260,555,3,3,16,1
199,489,6,4227,33,1,4,0,542,1319,2,7,1,1
200,3243,6,4183,2171,4,1,7,917,635,1,2,16,1
201,5517,9,998,260,1,1,1,731,239,2,11,1,0
202,3279,4,1495,617,1,1,7,919,1277,0,8,1,0
203,5771,5,1636,61,1,2,7,746,527,2,6,16,0
204,4560,7,2633,1806,4,1,7,1244,244,1,10,8,1
205,2576,5,3650,166,1,5,1,338,1287,1,15,4,1
206,3821,8,4212,822,2,3,7,610,904,4,2,4,1
207,5909,5,325,919,1,0,7,847,961,3,7,1,0
208,5035,7,4106,745,1,0,7,930,1367,3,6,1,1
209,2624,12,2129,2545,1,2,2,1276,864,3,8,1,0
210,238,14,4386,2032,3,0,6,513,1274,2,11,0,1
211,5835,7,662,2293,4,1,2,687,993,1,11,1,0
212,484,7,3456,1278,1,2,1,315,1356,2,7,1,1
213,4044,9,1186,1532,7,0,7,926,295,1,8,27,0
214,4743,6,4377,903,1,0,7,280,313,1,5,1,1
215,4520,7,1915,1094,1,0,1,1207,690,2,5,0,0
216,5024,7,922,1690,2,2,7,927,1205,2,4,14,0
217,508,8,2086,519,1,0,1,317,388,2,3,1,0
218,2260,8,2658,148,2,3,1,870,762,1,12,1,1
219,1225,10,1505,1722,2,1,1,363,511,2,6,21,0
220,3803,6,459,517,1,0,7,197,825,3,7,1,0
221,632,8,541,1405,2,0,2,27,202,3,5,8,0
222,5372,7,556,1433,0,5,7,616,746,2,4,1,0
223,3970,6,2323,642,2,0,7,636,950,0,7,16,1
224,215,9,2044,270,3,0,7,507,1279,2,2,15,0
225,2199,17,3760,2548,3,2,3,859,559,2,5,15,1
226,5554,6,2859,946,1,0,7,249,535,4,9,1,1
227,1616,5,3702,56,2,0,7,919,1277,0,8,1,1
228,4367,17,1133,2114,12,6,1,1225,1116,4,11,8,0
229,4134,5,4186,670,1,0,7,1185,1193,2,9,8,1
230,866,5,3015,153,1,0,7,338,1287,2,3,1,1
231,568,6,1084,1320,3,1,7,323,749,3,9,0,0
232,4728,7,79,216,5,4,7,678,785,3,11,1,0
233,2462,5,1277,812,1,0,7,40,1097,3,14,1,0
234,3315,8,2072,2677,6,4,1,921,895,3,2,8,0
235,528,6,945,608,1,0,1,321,955,2,12,1,0
236,4748,8,1472,1943,1,1,2,1215,823,2,8,1,0
237,4234,11,1967,1994,1,0,1,788,1216,3,5,1,0
238,1376,7,4432,243,7,0,7,588,1383,0,4,1,1
239,503,5,2176,160,3,2,7,317,388,0,5,1,0
240,6077,21,646,1566,1,4,3,1097,1033,1,10,14,0
241,5788,12,985,1144,2,1,1,682,1057,2,6,16,0
242,2473,12,2422,1352,4,2,5,334,795,1,5,1,1
243,4883,8,4429,1028,2,2,7,77,832,4,6,14,1
244,3395,9,1895,159,1,2,7,32,1379,3,11,8,0
245,4664,8,4082,474,2,1,1,667,758,2,5,1,1
246,1780,9,3255,2206,4,0,1,467,1086,3,8,1,1
247,1184,9,2807,1074,1,2,1,905,914,1,9,1,1
248,3553,6,2399,336,2,0,7,93,753,0,5,1,1
249,602,5,2606,67,4,0,7,870,762,1,21,1,1
250,5515,8,620,1528,2,1,7,730,1191,1,8,3,0
251,6084,27,3825,2175,7,0,6,1098,604,2,7,1,1
252,1277,23,1506,2566,4,3,8,585,1320,2,9,6,0
253,1111,20,4208,2068,3,0,3,355,1245,4,6,15,1
254,5823,10,134,1166,1,2,7,686,1102,2,9,8,0
255,3430,10,3480,931,3,4,1,723,1312,1,17,8,1
256,3587,12,1952,1619,2,0,1,755,1018,1,1,1,0
257,1113,34,936,2491,4,4,3,355,1245,2,6,15,0
258,5805,5,885,265,0,2,7,685,971,3,8,14,0
259,3954,6,3605,240,0,0,0,215,1042,2,6,1,1
260,3598,5,4098,190,1,0,7,756,1218,2,3,1,1
261,6046,7,2448,712,3,9,7,297,1080,0,10,1,1
262,5887,6,1339,46,1,1,7,707,219,4,12,16,0
263,2582,6,3665,1036,2,1,7,338,1287,4,6,8,1
264,5160,6,3384,572,1,4,1,788,1216,2,8,0,1
265,3944,8,4357,171,1,1,7,211,906,1,4,0,1
266,1504,7,2131,286,12,4,7,1074,1236,0,5,1,0
267,2019,5,343,410,4,2,7,297,1079,3,8,1,0
268,3361,5,4109,161,1,0,1,10,517,1,5,26,1
269,1133,6,2050,2292,1,0,1,76,928,3,9,8,0
270,4052,6,3776,496,0,0,1,171,466,2,11,1,1
271,3326,7,2749,651,3,0,7,1310,258,0,9,32,1
272,5307,7,2891,244,0,3,2,990,913,2,8,0,1
273,4340,9,3331,1951,2,0,5,791,1041,2,6,1,1
274,6013,7,2233,33,1,0,7,1085,956,3,5,18,1
275,3955,11,2683,2085,1,0,7,215,1042,0,13,1,1
276,2532,6,2501,259,3,0,3,1270,278,0,2,1,1
277,195,83,4246,2794,8,6,36,498,1147,2,7,27,1
278,514,12,344,1780,9,6,5,318,1150,2,9,34,0
279,915,6,57,1441,7,0,7,338,1287,3,5,1,0
280,5151,8,288,56,2,0,2,782,1083,2,7,16,0
281,1498,9,148,1947,2,0,7,375,821,2,4,1,0
282,8,7,763,1950,1,0,7,440,848,3,12,32,0
283,5704,9,1851,2210,2,4,2,426,1107,1,11,1,0
284,5765,9,760,1217,1,2,7,841,486,4,6,29,0
285,4218,10,531,1300,0,2,1,1195,1340,2,7,1,0
286,5780,17,3113,1289,5,0,1,277,1358,1,12,8,1
287,5250,12,1667,606,3,0,7,211,906,2,10,0,0
288,2833,10,3692,309,2,0,7,356,1118,4,8,15,1
289,397,5,3470,262,2,0,7,307,125,3,7,1,1
290,2329,50,1613,2635,5,0,5,28,1246,2,8,8,0
291,2917,9,3385,2369,3,0,3,80,1073,0,9,1,1
292,2053,6,2865,876,3,0,1,1016,281,2,4,1,1
293,5361,5,2914,158,1,0,7,467,1088,2,12,1,1
294,1299,6,627,797,2,0,7,1295,184,1,10,32,0
295,665,8,84,1295,3,0,7,1258,588,3,6,0,0
296,4582,15,887,2608,4,1,6,410,1292,1,2,8,0
297,250,27,2,2088,5,0,10,1006,415,2,4,1,0
298,454,13,2124,1955,5,3,7,16,924,3,7,15,0
299,4949,6,285,370,1,1,7,114,1212,1,4,1,0
300,4076,5,2276,866,1,0,7,1181,439,2,4,1,1
301,5541,6,40,681,1,0,7,1046,98,3,9,6,0
302,3766,6,2732,431,1,4,7,146,1054,1,12,1,1
303,2907,39,1504,2642,13,0,3,80,1073,3,3,8,0
304,1892,12,3287,2195,7,0,5,503,286,1,2,1,1
305,1337,5,2877,57,1,1,7,1295,184,2,9,1,1
306,4270,27,3246,2371,2,3,14,648,643,3,7,8,1
307,3362,5,1260,154,1,1,7,10,517,3,3,1,0
308,6016,37,2108,2518,2,7,9,296,0,2,16,27,0
309,1116,6,3494,1431,2,0,7,75,1288,3,2,0,1
310,5551,5,2191,433,1,0,7,643,338,2,8,32,0
311,942,8,634,1432,3,3,7,1271,168,2,7,8,0
312,3176,7,2425,2374,3,0,7,588,1383,2,4,15,1
313,4679,7,3627,930,1,0,2,418,601,2,4,1,1
314,2439,8,4040,1170,1,3,7,1057,1134,2,7,1,1
315,4024,28,2903,2562,3,8,6,497,77,4,4,27,1
316,113,5,2731,399,2,0,7,475,142,2,6,22,1
317,2234,5,2728,1249,2,0,7,22,1082,2,8,1,1
318,4500,22,3477,1388,3,2,11,269,702,3,6,1,1
319,230,8,2689,1527,1,0,3,1001,33,2,16,1,1
320,4413,7,1168,323,6,2,1,791,1041,1,9,1,0
321,5155,7,1816,343,2,5,7,783,1285,4,11,15,0
322,2777,7,55,402,1,0,1,355,1245,4,7,15,0
323,5401,7,3700,199,1,2,7,813,463,2,10,0,1
324,2276,7,1308,1069,5,2,7,870,762,2,18,36,0
325,1910,11,835,1693,1,0,1,510,1149,1,4,1,0
326,4643,14,1953,2184,3,0,3,414,134,4,13,16,0
327,5355,7,2080,1248,2,10,7,1123,1048,2,6,15,0
328,1474,14,666,2011,1,0,7,588,1383,1,5,1,0
329,1789,16,126,1567,8,0,4,472,817,1,10,9,0
330,1528,5,4087,803,2,0,7,1074,1236,1,5,34,1
331,3676,6,3340,847,1,6,7,1162,433,4,6,15,1
332,887,6,2768,440,2,2,0,572,700,0,8,1,1
333,5675,22,1197,2523,3,2,4,419,247,1,15,4,0
334,2560,13,1235,536,4,2,2,572,700,0,4,1,0
335,4026,4,2030,41,1,0,7,500,802,1,11,1,0
336,2,11,3828,156,2,1,1,437,1280,3,3,1,1
337,2251,13,1769,1647,3,1,2,1251,522,4,9,36,0
338,5857,8,3918,1021,3,0,7,1138,484,2,12,26,1
339,3601,8,2866,1777,1,0,7,99,745,3,10,8,1
340,267,10,3320,596,2,1,3,4,544,1,4,1,1
341,3679,9,890,379,1,3,7,119,1197,1,5,0,0
342,6135,5,810,332,3,2,7,1100,874,3,6,8,0
343,1219,9,365,722,2,2,1,908,581,2,2,8,0
344,2331,73,2474,2788,9,1,9,28,1246,3,11,17,1
345,5695,6,4043,2471,1,0,7,271,529,2,5,1,1
346,5085,5,113,37,1,0,7,947,547,2,3,6,0
347,3009,5,3922,175,1,0,1,1295,184,2,10,32,1
348,1677,6,955,1500,2,0,7,1087,52,2,7,1,0
349,1652,6,3387,1154,2,0,7,921,895,0,10,1,1
350,3265,10,4210,1815,5,1,3,1334,797,2,2,27,1
351,5911,8,376,852,2,0,7,848,1359,4,17,9,0
352,5469,7,47,617,3,10,7,723,1312,4,5,8,0
353,5293,6,1001,1216,2,1,7,1117,1032,2,3,14,0
354,300,7,1408,1828,4,0,7,289,1155,0,10,1,0
355,4603,5,2098,1703,2,0,7,666,1336,2,7,4,0
356,1048,7,411,1344,2,0,7,576,383,4,5,0,0
357,555,5,4323,1425,2,0,7,22,1082,3,11,4,1
358,1859,9,3649,1084,2,0,3,490,1380,4,14,27,1
359,2909,7,1547,234,3,0,7,1318,22,2,9,4,0
360,5601,5,3383,258,1,0,7,839,1382,0,12,1,1
361,1403,6,3230,648,1,0,7,588,1383,0,4,1,1
362,5513,14,1847,369,0,6,0,1127,728,4,11,0,0
363,3646,11,2241,1700,5,1,5,778,1316,2,4,1,0
364,112,5,1782,441,3,0,7,474,116,2,11,13,0
365,5697,10,846,361,2,2,1,424,1363,2,12,1,0
366,2922,5,3309,211,5,0,2,80,1073,2,5,8,1
367,4684,7,3928,695,1,0,7,1212,673,1,7,1,1
368,3797,10,4149,2411,4,1,1,604,598,4,9,15,1
369,3434,6,388,786,1,0,7,723,1312,0,11,1,0
370,3882,5,3314,295,1,2,7,483,1063,4,18,8,1
371,4081,8,739,1502,2,2,7,930,1367,1,10,11,0
372,3655,6,1353,401,2,0,7,113,265,2,10,27,0
373,19,5,2363,625,5,3,7,445,1347,4,3,1,1
374,225,7,4138,609,2,2,7,509,131,3,8,15,1
375,3292,5,1062,30,2,0,7,919,1277,1,6,1,0
376,3707,5,4097,856,1,0,7,130,854,0,11,24,1
377,415,7,8,702,2,0,1,1022,1389,1,11,15,0
378,282,5,4304,182,1,1,7,6,948,0,6,1,1
379,1094,17,2602,2565,7,1,1,352,652,2,10,17,1
380,1188,12,2752,2356,8,0,6,358,1052,2,9,8,1
381,939,9,1614,1177,8,1,9,573,846,0,8,1,0
382,6061,5,2454,1139,3,1,7,856,147,2,13,1,1
383,3320,7,1618,2588,1,6,1,923,1089,1,6,1,0
384,5669,6,2376,199,0,0,7,416,1168,0,5,1,1
385,2503,6,1573,884,3,0,2,1065,1069,3,3,27,0
386,6071,6,1943,2099,2,0,1,1157,1141,2,17,4,0
387,983,6,1842,1473,2,6,7,890,1338,3,13,8,0
388,346,15,3600,2349,6,1,3,530,573,2,2,0,1
389,1430,9,3304,756,4,0,7,588,1383,1,3,1,1
390,114,6,2380,80,2,0,7,476,992,1,14,16,1
391,1980,6,4305,1180,2,0,7,289,1155,1,8,1,1
392,2977,8,3196,504,6,0,1,909,1388,0,10,1,1
393,820,6,3506,365,3,2,7,1065,1069,2,3,9,1
394,306,13,3872,2652,2,0,7,289,1155,2,11,24,1
395,3354,6,2736,1133,1,0,7,6,949,1,15,8,1
396,4231,6,3158,47,2,2,7,785,883,1,5,1,1
397,919,5,1963,322,2,0,7,338,1287,1,1,1,0
398,941,8,3718,877,1,0,1,339,988,3,8,8,1
399,1637,6,2539,98,1,2,1,1339,7,2,1,15,1
400,4316,8,932,1081,3,2,2,534,1273,3,7,9,0
401,2512,27,1178,2320,7,2,9,49,1008,1,6,26,0
402,2094,9,4394,274,2,0,7,1022,1389,3,5,1,1
403,3633,4,1101,300,1,5,7,772,691,3,4,16,0
404,2696,5,3303,80,2,1,7,890,1338,1,12,1,1
405,6107,5,3148,1120,3,3,7,1157,1141,2,11,8,1
406,3013,8,2142,2123,3,1,1,367,1267,3,15,8,0
407,5579,5,132,261,0,3,1,839,1382,2,15,26,0
408,3700,9,443,1675,1,0,7,1167,260,2,3,15,0
409,3496,10,1100,1190,3,1,7,731,239,3,9,1,0
410,1837,9,4362,2448,2,1,3,487,1304,1,6,1,1
411,1351,15,201,837,3,0,2,84,1352,2,3,0,0
412,1143,5,4282,684,2,0,7,895,10,0,10,1,1
413,3467,17,1351,2555,3,1,1,67,1094,2,8,1,0
414,5584,10,827,608,2,0,1,1048,1078,1,10,15,0
415,1810,5,2591,235,2,0,1,481,1166,1,5,16,1
416,1252,9,2645,2381,4,0,7,80,1073,1,8,17,1
417,2236,8,468,431,3,1,2,1039,1025,0,11,1,0
418,56,5,1413,66,1,0,1,450,1373,1,6,1,0
419,4118,5,2179,869,2,0,7,1185,1193,1,7,17,0
420,970,10,3739,1210,5,5,1,890,1338,2,6,0,1
421,3563,6,2883,723,1,0,7,96,1399,1,8,1,1
422,2119,8,2498,1401,1,0,2,312,1269,3,8,29,1
423,4372,5,4366,209,1,1,7,1225,1116,2,5,1,1
424,3956,48,2665,2699,2,0,12,215,1042,1,10,1,1
425,4188,10,2491,1120,3,0,3,397,1185,1,9,6,1
426,5112,8,3614,1663,1,0,2,192,852,2,9,1,1
427,4387,9,3595,281,5,0,7,791,1041,4,5,1,1
428,2928,5,1359,1405,2,2,7,1072,875,1,10,24,0
429,771,7,3791,1759,3,2,1,881,778,1,4,26,1
430,24,6,150,2368,3,0,7,447,1290,1,7,1,0
431,3465,10,107,1496,3,0,7,67,1094,4,9,9,0
432,5647,6,1588,632,1,1,7,410,1292,2,6,1,0
433,4939,8,4287,1505,1,1,1,107,734,3,10,1,1
434,5649,33,2930,2383,6,4,11,410,1292,3,15,9,1
435,3503,7,3176,74,3,0,7,736,331,0,6,1,1
436,1315,5,3135,1437,1,2,7,1321,1178,1,8,26,1
437,844,10,1394,1738,5,0,2,336,1300,0,8,6,0
438,1942,10,3018,2446,6,0,1,1008,1392,3,8,1,1
439,2872,9,1866,531,2,0,7,358,1052,3,5,15,0
440,3200,5,3308,429,2,0,1,1074,1236,2,5,8,1
441,1208,5,2984,738,1,1,7,358,1052,4,5,15,1
442,1531,5,4393,1454,3,0,7,1074,1236,2,9,8,1
443,5170,5,419,1168,1,0,1,1107,274,2,10,1,0
444,1122,8,2257,1302,1,0,7,76,928,2,10,1,1
445,3245,6,4207,1328,1,0,7,1078,23,3,3,4,1
446,813,10,4155,1301,3,0,7,46,1200,1,3,29,1
447,4398,6,3090,197,3,4,0,1198,218,2,3,34,1
448,1559,7,2864,1238,2,2,7,593,965,1,10,1,1
